"Year","Age","mx","qx","ax","lx","dx","Lx","Tx","ex","px","Tpx"
2021,65,0.01598,0.01585,0.5,79550,1261,78920,1471884,18.5,0.98415,0.98415
2021,66,0.01689,0.01674,0.5,78289,1311,77634,1392965,17.79,0.98326,0.967675329
2021,67,0.01796,0.0178,0.5,76978,1370,76293,1315331,17.09,0.9822,0.9504507081438
2021,68,0.01917,0.01899,0.5,75608,1436,74890,1239038,16.39,0.98101,0.932401649196149
2021,69,0.02051,0.0203,0.5,74172,1506,73419,1164148,15.7,0.9797,0.913473895717467
2021,70,0.02205,0.02181,0.5,72666,1585,71874,1090729,15.01,0.97819,0.893551030051869
2021,71,0.02376,0.02348,0.5,71081,1669,70247,1018856,14.33,0.97652,0.872570451866252
2021,72,0.02572,0.02539,0.5,69412,1762,68531,948609,13.67,0.97461,0.850415888093367
2021,73,0.02806,0.02767,0.5,67650,1872,66714,880078,13.01,0.97233,0.826884880469824
2021,74,0.03027,0.02982,0.5,65778,1962,64797,813365,12.37,0.97018,0.802227173334214
2021,75,0.03382,0.03325,0.5,63816,2122,62755,748568,11.73,0.96675,0.775553119820851
2021,76,0.03696,0.03629,0.5,61694,2239,60574,685813,11.12,0.96371,0.747408297102553
2021,77,0.04124,0.04041,0.5,59455,2403,58254,625239,10.52,0.95959,0.717205527816638
2021,78,0.04539,0.04438,0.5,57052,2532,55786,566985,9.94,0.95562,0.685375946492136
2021,79,0.05024,0.04901,0.5,54520,2672,53184,511199,9.38,0.95099,0.651785671354556
2021,80,0.05489,0.05343,0.5,51849,2770,50464,458014,8.83,0.94657,0.616960762934082
2021,81,0.06072,0.05893,0.5,49079,2892,47632,407551,8.3,0.94107,0.580603265174377
2021,82,0.06689,0.06472,0.5,46186,2989,44692,359918,7.79,0.93528,0.543026621852291
2021,83,0.07457,0.07189,0.5,43197,3105,41644,315227,7.3,0.92811,0.50398843800733
2021,84,0.08225,0.079,0.5,40092,3167,38508,273583,6.82,0.921,0.464173351404751
2021,85,0.09294,0.08881,0.5,36924,3279,35285,235075,6.37,0.91119,0.422950116066495
2021,86,0.10472,0.09951,0.5,33645,3348,31971,199790,5.94,0.90049,0.380862350016718
2021,87,0.11753,0.11101,0.5,30297,3363,28615,167820,5.54,0.88899,0.338582820541362
2021,88,0.13165,0.12352,0.5,26934,3327,25270,139204,5.17,0.87648,0.296761070548093
2021,89,0.14481,0.13503,0.5,23607,3188,22013,113934,4.83,0.86497,0.256689423191984
2021,90,0.15641,0.14506,0.5,20419,2962,18938,91921,4.5,0.85494,0.219454055463755
2021,91,0.17509,0.161,0.5,17457,2811,16052,72983,4.18,0.839,0.18412195253409
2021,92,0.19411,0.17694,0.5,14646,2592,13351,56931,3.89,0.82306,0.151543414252708
2021,93,0.21599,0.19493,0.5,12055,2350,10880,43581,3.62,0.80507,0.122003056512428
2021,94,0.23889,0.2134,0.5,9705,2071,8670,32701,3.37,0.7866,0.0959676042526758
2021,95,0.26013,0.23019,0.5,7634,1757,6755,24031,3.15,0.76981,0.0738768214297524
2021,96,0.28438,0.24898,0.5,5877,1463,5145,17276,2.94,0.75102,0.0554829704301726
2021,97,0.31,0.2684,0.5,4414,1185,3821,12130,2.75,0.7316,0.0405913411667143
2021,98,0.33691,0.28834,0.5,3229,931,2763,8309,2.57,0.71166,0.0288872338547039
2021,99,0.36498,0.30865,0.5,2298,709,1943,5546,2.41,0.69135,0.0199711891254495
2021,100,0.39408,0.32921,0.5,1589,523,1327,3602,2.27,0.67079,0.0133964739534603
2021,101,0.42403,0.34986,0.5,1066,373,879,2275,2.14,0.65014,0.00870958357610268
2021,102,0.45464,0.37043,0.5,693,257,565,1396,2.01,0.62957,0.00548329253200696
2021,103,0.48569,0.39079,0.5,436,170,351,832,1.91,0.60921,0.00334047664342396
2021,104,0.51693,0.41076,0.5,266,109,211,481,1.81,0.58924,0.00196834245737113
2021,105,0.54813,0.43022,0.5,157,67,123,269,1.72,0.56978,0.00112152216536093
2021,106,0.57905,0.44904,0.5,89,40,69,147,1.64,0.55096,0.000617913852227255
2021,107,0.60943,0.4671,0.5,49,23,38,77,1.57,0.5329,0.000329286291851904
2021,108,0.63906,0.48431,0.5,26,13,20,40,1.51,0.51569,0.000169809647845109
2021,109,0.66774,0.5006,0.5,14,7,10,20,1.47,0.4994,8.48029381338472e-05
2021,110,0.69528,1,1.44,7,7,10,10,1.44,0,0
